Number,Character
421,"SUPPLY 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 2, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 2, U_SPLY 2, U_BASE 2, SUPPLY 2, U_SPLY 1, U_BASE 1, SUPPLY 2, SUPPLY 1, U_SPLY 2, U_SPLY 1, "
720,"U_BASE 1, SUPPLY 1, TEMPLE 1, U_SPLY 1, "
467,"SUPPLY 1, TEMPLE 1, SUPPLY 1, "
485,"U_BASE 2, SUPPLY 1, TEMPLE 2, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 1, U_BASE 1, U_SPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 2, "
549,"TEMPLE 1, SUPPLY 1, U_BASE 1, SUPPLY 1, U_BASE 2, SUPPLY 2, U_SPLY 1, U_SPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 2, "
474,"U_BASE 1, SUPPLY 1, SUPPLY 1, U_BASE 2, TEMPLE 2, SUPPLY 1, SUPPLY 2, "
779,"TEMPLE 1, SUPPLY 1, "
465,"SUPPLY 1, SUPPLY 1, U_BASE 2, U_BASE 1, TEMPLE 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, U_SPLY 2, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, U_BASE 2, SUPPLY 2, U_SPLY 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
657,"U_BASE 2, SUPPLY 2, U_BASE 2, U_BASE 1, U_BASE 2, SUPPLY 1, SUPPLY 2, TEMPLE 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 1, SUPPLY 2, U_SPLY 2, U_SPLY 1, "
506,"SUPPLY 1, SUPPLY 1, U_BASE 2, U_BASE 1, TEMPLE 2, U_BASE 2, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
,"TEMPLE 1, "
372,"SUPPLY 1, U_BASE 2, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, U_BASE 1, TEMPLE 2, SUPPLY 2, SUPPLY 1, U_SPLY 2, SUPPLY 1, SUPPLY 1, U_BASE 2, SUPPLY 2, SUPPLY 2, "
624,"U_BASE 2, SUPPLY 2, TEMPLE 1, U_BASE 2, SUPPLY 2, U_BASE 1, U_BASE 2, SUPPLY 2, SUPPLY 1, SUPPLY 2, SUPPLY 2, SUPPLY 2, "
